Date,Open,High,Low,Close,Volume
2023-03-07,280.39,283.08,267.07,267.39,830518.0
2023-03-08,266.86,271.01,264.0,267.83,835185.0
2023-03-09,176.55,177.7499,100.0,106.04,33572176.0
2023-03-10,106.04,106.04,106.04,106.04,11485729.0
