timestamp,Open,High,Low,Close,Volume
2021-01-04 09:30:00,388.0,388.0,388.0,388.0,200.0
2021-01-04 12:00:00,389.77,389.77,389.77,389.77,159.0
2021-01-04 13:45:00,392.0,392.0,392.0,392.0,399.0
2021-01-04 14:15:00,385.74,385.74,385.74,385.74,123.0
2021-01-04 14:30:00,385.66,392.0,385.27,390.76,29480.0
2021-01-04 14:45:00,391.39,391.95,387.0,387.44,18140.0
2021-01-04 15:00:00,391.09,391.09,386.66,387.53,7686.0
2021-01-04 15:15:00,387.79,388.48,386.66,387.61,4114.0
2021-01-04 15:30:00,387.2,388.36,386.0925,386.84,11589.0
2021-01-04 15:45:00,386.58,387.46,385.0,385.95,16912.0
2021-01-04 16:00:00,386.15,386.198,382.7,384.17,16064.0
2021-01-04 16:15:00,383.765,385.05,383.65,384.8,11479.0
2021-01-04 16:30:00,383.9,384.35,382.43,382.74,6910.0
2021-01-04 16:45:00,382.6,383.7225,382.11,383.345,10645.0
2021-01-04 17:00:00,382.64,383.19,380.1414,380.32,19626.0
2021-01-04 17:15:00,379.62,380.82,378.75,379.97,7747.0
2021-01-04 17:30:00,380.01,380.06,379.13,379.75,6908.0
2021-01-04 17:45:00,379.75,381.99,379.6599,381.99,1726.0
2021-01-04 18:00:00,382.28,383.12,381.415,382.72,11328.0
2021-01-04 18:15:00,383.03,384.4,382.96,384.18,14748.0
2021-01-04 18:30:00,383.4475,383.93,382.83,382.93,6535.0
2021-01-04 18:45:00,382.09,384.66,382.01,383.97,3797.0
2021-01-04 19:00:00,384.085,384.085,381.63,382.5809,6329.0
2021-01-04 19:15:00,382.4831,384.1425,382.47,383.34,9710.0
2021-01-04 19:30:00,383.03,383.85,381.93,382.593,7568.0
2021-01-04 19:45:00,382.7209,383.3334,382.49,383.3334,2181.0
2021-01-04 20:00:00,383.84,384.33,383.1,384.15,4322.0
2021-01-04 20:15:00,384.265,385.92,384.23,385.92,8043.0
2021-01-04 20:30:00,385.61,386.75,385.07,386.61,13863.0
2021-01-04 20:45:00,386.77,388.27,386.33,386.71,56228.0
2021-01-04 21:00:00,387.34,387.34,387.34,387.34,27189.0
2021-01-04 21:45:00,386.9,386.9,386.9,386.9,200.0
2021-01-05 13:15:00,383.46,384.74,383.46,384.74,405.0
2021-01-05 13:30:00,383.48,383.48,383.46,383.46,505.0
2021-01-05 14:15:00,381.0,381.0,381.0,381.0,839.0
2021-01-05 14:30:00,382.32,386.355,376.4,385.05,37536.0
2021-01-05 14:45:00,385.0,387.0,383.51,385.25,29672.0
2021-01-05 15:00:00,385.88,388.05,382.4,384.94,29164.0
2021-01-05 15:15:00,385.41,386.383,384.44,384.86,11036.0
2021-01-05 15:30:00,384.77,385.29,383.51,384.645,22422.0
2021-01-05 15:45:00,384.825,386.37,384.01,384.5,30180.0
2021-01-05 16:00:00,383.9261,384.71,382.66,382.99,11032.0
